,%,exemple top-4
image_nutrition_small_url,35.61245237925411,"['https://static.openfoodfacts.org/images/products/20525002/nutrition_de.7.200.jpg', 'https://static.openfoodfacts.org/images/products/071/582/610/2998/nutrition_en.15.200.jpg', 'https://static.openfoodfacts.org/images/products/376/009/008/1828/nutrition_fr.10.200.jpg', 'https://static.openfoodfacts.org/images/products/750/105/927/3283/nutrition_es.14.200.jpg']"
energy-kj_100g,8.104833548455177,"[0.0, 3700.0, 1700.0, 170.0]"
energy-kcal_100g,73.58671787901912,"[0.0, 1674.0, 2092.0, 1494.0]"
energy_100g,81.71549004300157,"[0.0, 1674.0, 2092.0, 1494.0]"
fat_100g,81.25117861040734,"[0.0, 0.5, 0.1, 1.0]"
saturated-fat_100g,78.34444443358794,"[0.0, 0.1, 0.5, 0.2]"
trans-fat_100g,14.104729977302286,"[0.0, 0.1, 0.2, 3.57]"
cholesterol_100g,14.182212924702794,"[0.0, 0.071, 0.107, 0.012]"
carbohydrates_100g,81.24668401320629,"[0.0, 0.5, 1.0, 11.0]"
sugars_100g,79.86625642067867,"[0.0, 0.5, 1.0, 0.1]"
fiber_100g,29.651737112963882,"[0.0, 3.6, 0.5, 2.0]"
proteins_100g,81.43106020708369,"[0.0, 0.5, 12.0, 1.0]"
salt_100g,79.50434363736026,"[0.0, 0.1, 0.01, 1.0]"
sodium_100g,79.49945820562002,"[0.0, 0.04, 0.004, 0.4]"
vitamin-a_100g,13.591075684131434,"[0.0, 0.0003213, 0.0002142, 0.0001071]"
vitamin-c_100g,13.939406967211914,"[0.0, 0.001, 0.004, 0.0043]"
calcium_100g,14.286272620770315,"[0.0, 0.071, 0.067, 0.7140000000000001]"
iron_100g,13.954356388337105,"[0.0, 0.0012900000000000001, 0.00257, 0.0024]"
nutrition-score-fr_100g,29.02454538614941,"[0.0, 14.0, 13.0, 2.0]"
nutrition-score-uk_100g,29.02454538614941,"[0.0, 2.0, 1.0, 3.0]"
