,%,exemple top-4
image_nutrition_small_url,34.577522519397604,"['https://static.openfoodfacts.org/images/products/871/845/214/6833/nutrition_nl.9.200.jpg', 'https://static.openfoodfacts.org/images/products/336/173/000/0232/nutrition_fr.5.200.jpg', 'https://static.openfoodfacts.org/images/products/010/430/652/874676217/nutrition_de.7.200.jpg', 'https://static.openfoodfacts.org/images/products/342/842/005/3203/nutrition_fr.10.200.jpg']"
energy_100g,80.8322039843627,"[0.0, 1674.0, 2092.0, 1494.0]"
fat_100g,80.36896734675133,"[0.0, 0.5, 0.1, 1.0]"
saturated-fat_100g,77.46819339665504,"[0.0, 0.1, 0.5, 0.2]"
trans-fat_100g,14.103752890954233,"[0.0, 0.1, 0.2, 3.57]"
cholesterol_100g,14.181040421085134,"[0.0, 0.071, 0.107, 0.012]"
carbohydrates_100g,80.36496129272433,"[0.0, 0.5, 1.0, 11.0]"
sugars_100g,78.98912600603254,"[0.0, 0.5, 1.0, 0.1]"
fiber_100g,29.576990007337916,"[0.0, 3.6, 0.5, 2.0]"
proteins_100g,80.5510962420282,"[0.0, 0.5, 12.0, 1.0]"
salt_100g,78.61978736646894,"[0.0, 0.1, 0.01, 1.0]"
sodium_100g,78.61509735199829,"[0.0, 0.04, 0.004, 0.4]"
vitamin-a_100g,13.589219220070134,"[0.0, 0.0003213, 0.0002142, 0.0001071]"
vitamin-c_100g,13.937648211785419,"[0.0, 0.001, 0.004, 0.0043]"
calcium_100g,14.278553638620705,"[0.0, 0.071, 0.067, 0.7140000000000001]"
iron_100g,13.948982413422822,"[0.0, 0.0012900000000000001, 0.00257, 0.0024]"
nutrition-score-fr_100g,28.657551753821142,"[0.0, 14.0, 13.0, 2.0]"
nutrition-score-uk_100g,28.657551753821142,"[0.0, 2.0, 1.0, 3.0]"
